Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
2015,IRQ,TUR,Iraq,Türkiye,REF,Konya : Province,U,I,50,82,61,247,10,0,450,63,101,73,290,10,0,537,987
2015,IRQ,TUR,Iraq,Türkiye,REF,Kutahya : Province,U,I,41,61,44,199,11,0,356,37,84,45,245,12,0,423,779
2015,IRQ,TUR,Iraq,Türkiye,REF,Malatya : Province,U,I,0,7,0,0,0,0,7,0,5,0,5,0,0,10,17
2015,IRQ,TUR,Iraq,Türkiye,REF,Manisa : Province,U,I,15,32,18,94,10,0,169,20,27,29,132,5,0,213,382
2015,IRQ,TUR,Iraq,Türkiye,REF,Mardin : Province,U,I,0,9,5,14,0,0,28,0,11,11,18,0,0,40,68
2015,IRQ,TUR,Iraq,Türkiye,REF,Mersin : Province,U,I,15,10,5,34,5,0,69,10,17,6,37,5,0,75,144
2015,IRQ,TUR,Iraq,Türkiye,REF,Nevsehir : Province,U,I,26,32,14,89,5,0,166,28,34,28,121,5,0,216,382
2015,IRQ,TUR,Iraq,Türkiye,REF,Nigde : Province,U,I,19,46,36,169,23,0,293,42,68,41,188,12,0,351,644
2015,IRQ,TUR,Iraq,Türkiye,REF,Ordu : Province,V,U,8,0,0,17,5,0,30,0,9,7,25,0,0,41,71
2015,IRQ,TUR,Iraq,Türkiye,REF,Sakarya : Province,U,I,42,78,48,271,22,0,461,48,96,93,323,18,0,578,1039
2015,IRQ,TUR,Iraq,Türkiye,REF,Samsun : Province,V,U,46,86,57,229,26,0,444,49,101,62,243,20,0,475,919
2015,IRQ,TUR,Iraq,Türkiye,REF,Sanliurfa : Province,U,I,0,8,0,5,0,0,13,0,0,0,9,0,0,9,22
2015,IRQ,TUR,Iraq,Türkiye,REF,Siirt : Province,U,I,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5
2015,IRQ,TUR,Iraq,Türkiye,REF,Sinop : Province,U,I,12,21,17,83,6,0,139,21,34,16,126,5,0,202,341
2015,IRQ,TUR,Iraq,Türkiye,REF,Sirnak : Province,U,I,0,0,0,8,0,0,8,0,0,0,8,0,0,8,16
2015,IRQ,TUR,Iraq,Türkiye,REF,Sivas : Province,U,I,0,0,5,7,0,0,12,0,0,5,18,0,0,23,35
2015,IRQ,TUR,Iraq,Türkiye,REF,Tekirdag : Province,U,I,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2015,IRQ,TUR,Iraq,Türkiye,REF,Tokat : Province,U,I,15,20,21,102,6,0,164,18,39,22,130,9,0,218,382
2015,IRQ,TUR,Iraq,Türkiye,REF,Trabzon : Province,V,U,0,6,0,0,0,0,6,0,0,0,5,0,0,5,11
2015,IRQ,TUR,Iraq,Türkiye,REF,Usak : Province,U,I,17,40,20,95,5,0,177,18,45,14,136,7,0,220,397
2015,IRQ,TUR,Iraq,Türkiye,REF,Yalova : Province,U,I,32,68,32,187,22,0,341,31,60,37,218,21,0,367,708
2015,IRQ,TUR,Iraq,Türkiye,REF,Yozgat : Province,U,I,36,41,35,161,15,0,288,28,42,40,138,14,0,262,550
2015,IRQ,TUR,Iraq,Türkiye,REF,Zondulak : Province,V,U,13,36,34,113,8,0,204,24,42,30,129,9,0,234,438
2015,IRQ,ARE,Iraq,United Arab Emirates,ASY,Abu Dhabi : Emirate,U,I,14,22,12,83,9,0,140,8,20,13,85,8,0,134,274
2015,IRQ,ARE,Iraq,United Arab Emirates,REF,Abu Dhabi : Emirate,U,I,18,41,31,180,24,0,294,17,41,39,177,21,0,295,589
2015,IRQ,UKR,Iraq,Ukraine,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271
2015,IRQ,UKR,Iraq,Ukraine,REF,Dispersed in the country / territory,U,I,0,0,0,0,0,20,20,0,0,0,0,0,66,66,86
2015,IRQ,USA,Iraq,United States of America,ASY,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729
2015,IRQ,USA,Iraq,United States of America,REF,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5760
2015,IRQ,VEN,Iraq,Venezuela (Bolivarian Republic of),ASY,Caracas : Point,U,I,0,0,0,0,0,0,0,0,0,0,8,0,0,8,8
2015,IRQ,YEM,Iraq,Yemen,ASY,Aden: Muhafazah GÇô Governorate,U,I,0,0,0,8,0,0,8,0,0,0,0,0,0,0,8
2015,IRQ,YEM,Iraq,Yemen,ASY,Al Hudaydah: Muhafazah - Governorate,U,I,0,0,5,0,0,0,5,0,0,0,5,0,0,5,10
2015,IRQ,YEM,Iraq,Yemen,ASY,Dhamar : Muhafazah - Governorate,U,I,0,0,0,9,0,0,9,0,0,0,0,0,0,0,9
2015,IRQ,YEM,Iraq,Yemen,ASY,SanaGÇÖa: Muhafazah GÇô Governorate,U,I,0,7,7,26,5,0,45,0,5,7,34,11,0,57,102
2015,IRQ,YEM,Iraq,Yemen,ASY,Taizz: Muhafazah - Governorate,U,I,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5
